"","Firmicutes","Bacteroidetes","Actinobacteria","Fusobacteria","Proteobacteria"
"1",0.00103865145581475,0.000578920483568875,0,0.000119189511323004,6.81082921845735e-05
"2",0.000902434871445599,0.000630001702707305,0,8.51353652307168e-05,8.51353652307168e-05
"3",0.0014132470628299,0.000783245360122595,1.70270730461434e-05,0.00010216243827686,6.81082921845735e-05
"4",0.00187297803507577,0.00131108462455304,1.70270730461434e-05,0.000170270730461434,0.00010216243827686
"5",0.00137919291673761,0.000919461944491742,0,0.000272433168738294,6.81082921845735e-05
"6",0.00143027413587604,0.00107270560190703,0,0.000187297803507577,5.10812191384301e-05
"7",0.00265622339519837,0.00194108632726034,5.10812191384301e-05,0.000255406095692151,5.10812191384301e-05
"8",0.00132811169759918,0.000715137067938021,0,6.81082921845735e-05,3.40541460922867e-05
"9",0.00228162778818321,0.00182189681593734,3.40541460922867e-05,0.000272433168738294,8.51353652307168e-05
"10",0.00277541290652137,0.00175378852375277,3.40541460922867e-05,0.000221351949599864,8.51353652307168e-05
"11",0.00117486804018389,0.00107270560190703,0,0.000255406095692151,5.10812191384301e-05
"12",0.00252000681082922,0.00170270730461434,1.70270730461434e-05,0.00020432487655372,0.000136216584369147
"13",0.00148135535501447,0.000987570236676315,0,0.00020432487655372,8.51353652307168e-05
"14",0.0015324365741529,0.00112378682104546,0,0.000238379022646007,6.81082921845735e-05
"15",0.00154946364719905,0.00126000340541461,1.70270730461434e-05,0.000170270730461434,0.000136216584369147
"16",0.00112378682104546,0.000732164140984165,0,0.000119189511323004,3.40541460922867e-05
"17",0.00119189511323004,0.00103865145581475,1.70270730461434e-05,0.000119189511323004,6.81082921845735e-05
"18",0.00114081389409161,0.000817299506214882,1.70270730461434e-05,3.40541460922867e-05,3.40541460922867e-05
"19",0.00183892388898348,0.00114081389409161,5.10812191384301e-05,0.000221351949599864,0.000119189511323004
"20",0.00257108802996765,0.00156649072024519,3.40541460922867e-05,0.000255406095692151,5.10812191384301e-05
"21",0.00146432828196833,0.00139621998978376,1.70270730461434e-05,0.00020432487655372,0.00010216243827686
"22",0.00151540950110676,0.000987570236676315,5.10812191384301e-05,0.00020432487655372,6.81082921845735e-05
"23",0.00190703218116806,0.00134513877064533,1.70270730461434e-05,0.000238379022646007,0.000119189511323004
"24",0.0020432487655372,0.00136216584369147,1.70270730461434e-05,0.000272433168738294,8.51353652307168e-05
"25",0.00168568023156819,0.00117486804018389,3.40541460922867e-05,0.000187297803507577,0.00010216243827686
"26",0.00105567852886089,0.000715137067938021,0,0.00015324365741529,3.40541460922867e-05
"27",0.0024348714455985,0.00217946534990635,5.10812191384301e-05,0.000187297803507577,0.000119189511323004
"28",0.00241784437255236,0.00182189681593734,0,0.000306487314830581,5.10812191384301e-05
"29",0.00262216924910608,0.0014132470628299,5.10812191384301e-05,0.000340541460922867,8.51353652307168e-05
"30",0.00236676315341393,0.00171973437766048,3.40541460922867e-05,0.000238379022646007,0.000136216584369147
"31",0.00112378682104546,0.00105567852886089,0,0.00015324365741529,1.70270730461434e-05
